"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3531704,"SP","monteiro lobato","são josé dos campos","25","0577"
3531803,"SP","monte mor","monte mor","25","0372"
3531902,"SP","morro agudo","morro agudo","25","0374"
3532009,"SP","morungaba","itatiba","25","0281"
3532058,"SP","motuca","américo brasiliense","25","0040"
3532108,"SP","murutinga do sul","andradina","25","0024"
3532157,"SP","nantes","iepê","25","0240"
3532207,"SP","narandiba","pirapozinho","25","0456"
3532306,"SP","natividade da serra","paraibuna","25","0418"
3532405,"SP","nazaré paulista","nazaré paulista","25","0695"
3532504,"SP","neves paulista","neves paulista","25","0382"
3532603,"SP","nhandeara","nhandeara","25","0383"
3532702,"SP","nipoã","monte aprazível","25","0369"
3532702,"SP","nipoã","monte aprazível","25","0682"
3532801,"SP","nova aliança","potirendaba","25","0474"
3532827,"SP","nova campina","itapeva","25","0270"
3532843,"SP","nova canaã paulista","santa fé do sul","25","0541"
3532843,"SP","nova canaã paulista","santa fé do sul","25","0689"
3532868,"SP","nova castilho","general salgado","25","0204"
3532900,"SP","nova europa","araraquara","25","0037"
3533007,"SP","nova granada","nova granada","25","0390"
3533106,"SP","nova guataporanga","tupi paulista","25","0638"
3533205,"SP","nova independência","andradina","25","0024"
3533254,"SP","novais","tabapuã","25","0607"
3533304,"SP","nova luzitânia","nhandeara","25","0383"
3533403,"SP","nova odessa","nova odessa","25","0394"
3533502,"SP","novo horizonte","novo horizonte","25","0396"
3533601,"SP","nuporanga","nuporanga","25","0397"
3533700,"SP","ocauçu","marília","25","0344"
3533809,"SP","óleo","piraju","25","0452"
3533908,"SP","olímpia","olímpia","25","0400"
3533908,"SP","olímpia","olímpia","25","0671"
3533908,"SP","olímpia","olímpia","25","0700"
3534005,"SP","onda verde","nova granada","25","0390"
3534104,"SP","oriente","pompéia","25","0464"
3534203,"SP","orindiúva","paulo de faria","25","0430"
3534203,"SP","orindiúva","paulo de faria","25","0683"
3534302,"SP","orlândia","orlândia","25","0404"
3534401,"SP","osasco","osasco","25","0405"
3534500,"SP","oscar bressane","paraguaçu paulista","25","0417"
3534609,"SP","osvaldo cruz","osvaldo cruz","25","0407"
3534708,"SP","ourinhos","ourinhos","25","0408"
